id,ho_ten,sdt,thanh_pho,email,_source,_extract_time,_run_id
1,Nguyen Amh*,123,hanoi,test@,csv,2025-12-10T03:00:52.062718,20251210_030051
1,Trần Hạnh,977438371,Hồ Chí Minh,user1@example.com,csv,2025-12-10T03:00:52.065665,20251210_030051
2,Đặng Quỳnh,931098642,Hải Phòng,user2@example.com,csv,2025-12-10T03:00:52.065665,20251210_030051
3,Lê Quỳnh,940589036,Hồ Chí Minh,user3@example.com,csv,2025-12-10T03:00:52.066948,20251210_030051
4,Trần Huy,963983771,Hồ Chí Minh,user4@example.com,csv,2025-12-10T03:00:52.066948,20251210_030051
5,Lê Hạnh,946481691,Đà Nẵng,user5@example.com,csv,2025-12-10T03:00:52.067473,20251210_030051
6,Đặng Bình,935819771,Hồ Chí Minh,user6@example.com,csv,2025-12-10T03:00:52.067473,20251210_030051
7,Hoàng Huy,934344477,Hải Phòng,user7@example.com,csv,2025-12-10T03:00:52.068568,20251210_030051
8,Lê Hạnh2313,961562977,Đà Nẵng,,csv,2025-12-10T03:00:52.068568,20251210_030051
9,Trần Cường,931071852,Hà Nội,user9@example.com,csv,2025-12-10T03:00:52.068568,20251210_030051
10,Lê Bình,933207849,Cần Thơ,user10@example.com,csv,2025-12-10T03:00:52.068568,20251210_030051
11,Nguyễn Hoa,974249066,Hồ Chí Minh,user11@example.com,csv,2025-12-10T03:00:52.069596,20251210_030051
12,Đặng Quỳnh,963264222,Hà Nội,user12@example.com,csv,2025-12-10T03:00:52.069596,20251210_030051
13,Trần Cường,955393237,Hà Nội,user13@example.com,csv,2025-12-10T03:00:52.069596,20251210_030051
14,Đặng Huy,915103926,Hải Phòng,user14@example.com,csv,2025-12-10T03:00:52.070595,20251210_030051
15,Trần Dũng,953061175,Hải Phòng,user15@example.com,csv,2025-12-10T03:00:52.070595,20251210_030051
16,Hoàng Quỳnh,971828670,Hải Phòng,user16@example.com,csv,2025-12-10T03:00:52.070595,20251210_030051
17,Đặng Bình,970934418,Hà Nội,user17@example.com,csv,2025-12-10T03:00:52.070595,20251210_030051
18,Trần Quỳnh,923118330,Đà Nẵng,user18@example.com,csv,2025-12-10T03:00:52.071810,20251210_030051
19,Phạm Bình,910032249,Hà Nội,user19@example.com,csv,2025-12-10T03:00:52.071810,20251210_030051
20,Trần Nga,992834117,Hà Nội,user20@example.com,csv,2025-12-10T03:00:52.071810,20251210_030051
21,Vũ Minh,919826642,Hồ Chí Minh,user21@example.com,csv,2025-12-10T03:00:52.072867,20251210_030051
22,Trần Hoa,948824825,Hồ Chí Minh,user22@example.com,csv,2025-12-10T03:00:52.072867,20251210_030051
23,Hoàng Hạnh,921566726,Đà Nẵng,user23@example.com,csv,2025-12-10T03:00:52.072867,20251210_030051
24,Hoàng Minh,999346589,Đà Nẵng,user24@example.com,csv,2025-12-10T03:00:52.072867,20251210_030051
25,Phạm An,916686533,Hà Nội,user25@example.com,csv,2025-12-10T03:00:52.073872,20251210_030051
26,Đỗ Dũng,984869323,Hải Phòng,user26@example.com,csv,2025-12-10T03:00:52.073872,20251210_030051
27,Phạm Dũng,935060844,Cần Thơ,user27@example.com,csv,2025-12-10T03:00:52.073872,20251210_030051
28,Lê Nga,981860383,Hồ Chí Minh,user28@example.com,csv,2025-12-10T03:00:52.074873,20251210_030051
29,Bùi Nga,961548477,Đà Nẵng,user29@example.com,csv,2025-12-10T03:00:52.074873,20251210_030051
30,Nguyễn Hạnh,963499978,Hồ Chí Minh,user30@example.com,csv,2025-12-10T03:00:52.074873,20251210_030051
31,Đặng An,976760101,Hà Nội,user31@example.com,csv,2025-12-10T03:00:52.074873,20251210_030051
32,Vũ Bình,934831919,Cần Thơ,user32@example.com,csv,2025-12-10T03:00:52.075862,20251210_030051
33,Nguyễn Bình,981784841,Hồ Chí Minh,user33@example.com,csv,2025-12-10T03:00:52.075862,20251210_030051
34,Bùi An,937524852,Hồ Chí Minh,user34@example.com,csv,2025-12-10T03:00:52.075862,20251210_030051
35,Vũ An,938650260,Cần Thơ,user35@example.com,csv,2025-12-10T03:00:52.075862,20251210_030051
36,Bùi Bình,911798607,Cần Thơ,user36@example.com,csv,2025-12-10T03:00:52.076865,20251210_030051
37,Vũ Hạnh,988130726,Đà Nẵng,user37@example.com,csv,2025-12-10T03:00:52.076865,20251210_030051
38,Hoàng Cường,962582977,Hồ Chí Minh,user38@example.com,csv,2025-12-10T03:00:52.076865,20251210_030051
39,Nguyễn Minh,967672162,Hồ Chí Minh,user39@example.com,csv,2025-12-10T03:00:52.076865,20251210_030051
40,Lê Hạnh,941601149,Hà Nội,user40@example.com,csv,2025-12-10T03:00:52.077863,20251210_030051
41,Trần Hoa,928567407,Đà Nẵng,user41@example.com,csv,2025-12-10T03:00:52.077863,20251210_030051
42,Hoàng Bình,968619451,Đà Nẵng,user42@example.com,csv,2025-12-10T03:00:52.077863,20251210_030051
43,Phạm Minh,918397812,Cần Thơ,user43@example.com,csv,2025-12-10T03:00:52.078863,20251210_030051
44,Hoàng Nga,922029769,Hà Nội,user44@example.com,csv,2025-12-10T03:00:52.078863,20251210_030051
45,Trần Hoa,975646096,Cần Thơ,user45@example.com,csv,2025-12-10T03:00:52.078863,20251210_030051
46,Lê Cường,945119553,Đà Nẵng,user46@example.com,csv,2025-12-10T03:00:52.078863,20251210_030051
47,Nguyễn Quỳnh,968356398,Hải Phòng,user47@example.com,csv,2025-12-10T03:00:52.079871,20251210_030051
48,Phạm Hạnh,910094965,Hải Phòng,user48@example.com,csv,2025-12-10T03:00:52.079871,20251210_030051
49,Hoàng Hoa,954193825,Hà Nội,user49@example.com,csv,2025-12-10T03:00:52.079871,20251210_030051
50,Vũ Minh8888,921081371,Hồ Chí Minh,,csv,2025-12-10T03:00:52.079871,20251210_030051
51,Trần Cường,960735815,Cần Thơ,user51@example.com,csv,2025-12-10T03:00:52.079871,20251210_030051
52,Bùi Nga,963767089,Hồ Chí Minh,user52@example.com,csv,2025-12-10T03:00:52.079871,20251210_030051
53,Bùi Minh,910391245,Cần Thơ,user53@example.com,csv,2025-12-10T03:00:52.080874,20251210_030051
54,Đỗ Huy,919332376,Đà Nẵng,user54@example.com,csv,2025-12-10T03:00:52.080874,20251210_030051
55,Nguyễn Cường,912903023,Hà Nội,user55@example.com,csv,2025-12-10T03:00:52.080874,20251210_030051
56,Nguyễn An,936111176,Hải Phòng,user56@example.com,csv,2025-12-10T03:00:52.082202,20251210_030051
57,Trần Quỳnh,992137012,Cần Thơ,user57@example.com,csv,2025-12-10T03:00:52.082618,20251210_030051
58,Nguyễn Bình,989706451,Cần Thơ,user58@example.com,csv,2025-12-10T03:00:52.082618,20251210_030051
59,Lê An,992396008,Đà Nẵng,user59@example.com,csv,2025-12-10T03:00:52.083657,20251210_030051
60,Đỗ Hoa,982289138,Cần Thơ,user60@example.com,csv,2025-12-10T03:00:52.084187,20251210_030051
61,Phạm Nga,936727673,Hồ Chí Minh,user61@example.com,csv,2025-12-10T03:00:52.084187,20251210_030051
62,Nguyễn Huy,991174738,Cần Thơ,user62@example.com,csv,2025-12-10T03:00:52.084187,20251210_030051
63,Nguyễn Bình,943005149,Đà Nẵng,user63@example.com,csv,2025-12-10T03:00:52.085219,20251210_030051
64,Trần Dũng,948208121,Đà Nẵng,user64@example.com,csv,2025-12-10T03:00:52.085219,20251210_030051
65,Trần Huy,950723151,Hải Phòng,user65@example.com,csv,2025-12-10T03:00:52.085219,20251210_030051
66,Vũ Huy,938817521,Hồ Chí Minh,user66@example.com,csv,2025-12-10T03:00:52.086231,20251210_030051
67,Đỗ Bình,967555149,Hải Phòng,user67@example.com,csv,2025-12-10T03:00:52.086231,20251210_030051
68,Bùi Minh,978150286,Hồ Chí Minh,user68@example.com,csv,2025-12-10T03:00:52.086231,20251210_030051
69,Đỗ Dũng,991286329,Hồ Chí Minh,user69@example.com,csv,2025-12-10T03:00:52.087221,20251210_030051
70,Đặng Cường,960687154,Hải Phòng,user70@example.com,csv,2025-12-10T03:00:52.087221,20251210_030051
71,Nguyễn Cường,981979811,Đà Nẵng,user71@example.com,csv,2025-12-10T03:00:52.088213,20251210_030051
72,Đỗ Hạnh,962843786,Hà Nội,user72@example.com,csv,2025-12-10T03:00:52.088213,20251210_030051
73,Vũ Hoa,945323058,Hà Nội,user73@example.com,csv,2025-12-10T03:00:52.088213,20251210_030051
74,Đặng Huy,930202602,Cần Thơ,user74@example.com,csv,2025-12-10T03:00:52.089221,20251210_030051
75,Đỗ An,995264759,Hồ Chí Minh,user75@example.com,csv,2025-12-10T03:00:52.089221,20251210_030051
76,Trần Cường,988377226,Hải Phòng,user76@example.com,csv,2025-12-10T03:00:52.089221,20251210_030051
77,Lê Minh,954409019,Đà Nẵng,user77@example.com,csv,2025-12-10T03:00:52.089221,20251210_030051
78,Trần Nga,969260786,Đà Nẵng,user78@example.com,csv,2025-12-10T03:00:52.090223,20251210_030051
